lastname;firstname;age;year;group
durand;lucas;20;ing1;fise
martin;emma;21;ing2;fisa
bernard;nathan;22;ing3;fise
robert;lea;19;ing1;fisa
moreau;julien;23;ing3;fise
fournier;sarah;20;ing2;fisa
girard;alexis;21;ing1;fise
dupont;ines;22;ing2;fise
leroy;marc;24;ing3;fisa
renaud;claire;19;ing1;fise
gautier;paul;20;ing1;fise
blanc;manon;21;ing2;fisa
barbier;loic;22;ing3;fise
renaud;julie;19;ing1;fisa
colin;maxime;23;ing3;fise
perrin;lucie;20;ing2;fisa
marchand;tom;21;ing1;fise
duval;anna;22;ing2;fise
guichard;leo;24;ing3;fisa
moulin;eva;19;ing1;fise
roy;gabriel;20;ing1;fise
lambert;chloe;21;ing2;fisa
bonnet;adrien;22;ing3;fise
francois;marion;19;ing1;fisa
martinez;quentin;23;ing3;fise
legrand;alicia;20;ing2;fisa
giraud;theo;21;ing1;fise
nguyen;mai;22;ing2;fise
charles;axel;24;ing3;fisa
baron;elise;19;ing1;fise
voisin;mathis;20;ing1;fise
arnaud;camille;21;ing2;fisa
pineau;dorian;22;ing3;fise
descamps;helene;19;ing1;fisa
masson;kevin;23;ing3;fise
besson;noemi;20;ing2;fisa
richard;valentin;21;ing1;fise
caron;laura;22;ing2;fise
poulain;david;24;ing3;fisa
legros;sophie;19;ing1;fise
georges;hugo;20;ing1;fise
hamel;celia;21;ing2;fisa
marty;enzo;22;ing3;fise
mace;lea;19;ing1;fisa
faure;adrien;23;ing3;fise
lemaire;jade;20;ing2;fisa
monnier;samuel;21;ing1;fise
bourdon;eva;22;ing2;fise
ollivier;noah;24;ing3;fisa
perez;ilona;19;ing1;fise
